route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
0,SA,115699058,Union Station,0,   0  4,1325342
0,SA,115699059,Union Station,0,   0  5,1325342
0,SA,115699060,Union Station,0,   0  8,1325342
0,SA,115699061,Union Station,0,   0  2,1325344
0,SA,115699062,Union Station,0,   0  1,1325342
0,SA,115699063,Union Station,0,   0  3,1325342
0,SA,115699064,Union Station,0,   0  9,1325342
0,SA,115699065,Union Station,0,   0  4,1325342
0,SA,115699066,Union Station,0,   0  2,1325342
0,SA,115699067,Union Station,0,   0  5,1325342
0,SA,115699068,Union Station,0,   0  4,1325344
0,SA,115699069,Union Station,0,   0  4,1325342
0,SA,115699070,Union Station,0,   0  7,1325342
0,SA,115699071,Union Station,0,   0  2,1325342
0,SA,115699072,Union Station,0,   0  7,1325342
0,SA,115699073,Union Station,0,   0  2,1325342
0,SA,115699074,Union Station,0,   0  3,1325342
0,SA,115699075,Union Station,0,   0  3,1325344
0,SA,115699076,Union Station,0,   0  9,1325342
0,SA,115699077,Union Station,0,   0  1,1325342
0,SA,115699078,Union Station,0,   0  2,1325342
0,SA,115699079,Union Station,0,   0  5,1325342
0,SA,115699080,Union Station,0,   0  8,1325342
0,SA,115699081,Union Station,0,   0  2,1325342
0,SA,115699082,Union Station,0,   0  8,1325342
0,SA,115699083,Union Station,0,   0  4,1325342
0,SA,115699084,Union Station,0,   0  1,1325342
0,SA,115699085,Union Station,0,   0  5,1325342
0,SA,115699086,Union Station,0,   0  2,1325342
0,SA,115699087,Union Station,0,   0  9,1325342
0,SA,115699088,Union Station,0,   0  7,1325342
0,SA,115699089,Union Station,0,   0  3,1325342
0,SA,115699090,Union Station,0,   0  5,1325344
0,SA,115699091,Union Station,0,   0  6,1325342
0,SA,115699092,Union Station,0,   0  3,1325342
0,SA,115699093,Union Station,0,   0  7,1325342
0,SA,115699094,Union Station,0,   0  7,1325342
0,SA,115699095,Union Station,0,   0  8,1325344
0,SA,115699096,Union Station,0,   0  8,1325342
0,SA,115699097,Union Station,0,   0  2,1325342
0,SA,115699098,Union Station,0,   0  6,1325342
0,SA,115699099,Union Station,0,   0  8,1325342
0,SA,115699100,Union Station,0,   0  6,1325342
0,SA,115699101,Union Station,0,   0  4,1325342
0,SA,115699102,Union Station,0,   0  1,1325342
0,SA,115699103,Union Station,0,   0  8,1325342
0,SA,115699104,Union Station,0,   0  5,1325342
0,SA,115699105,Union Station,0,   0  6,1325342
0,SA,115699106,Union Station,0,   0  7,1325342
0,SA,115699107,Union Station,0,   0  6,1325342
0,SA,115699108,Union Station,0,   0  1,1325342
0,SA,115699109,Union Station,0,   0  3,1325342
0,SA,115699110,Union Station,0,   0  6,1325342
0,SA,115699111,Union Station,0,  15 15,1325342
0,SA,115699112,Union Station,0,   0  3,1325342
0,SA,115699113,Union Station,0,   0  3,1325342
0,SA,115699114,Union Station,0,   0  5,1325342
0,SA,115699115,Union Station,0,   0  6,1325342
0,SA,115699116,Union Station,0,   0  9,1325342
0,SA,115699117,Union Station,0,   0  1,1325342
0,SA,115699118,Union Station,0,   0  6,1325344
0,SA,115699119,Union Station,0,   0  5,1325344
0,SA,115699120,Union Station,0,   0  7,1325342
0,SA,115699121,Union Station,0,   0  6,1325342
0,SA,115699122,Union Station,0,   0  1,1325342
0,SA,115699123,Union Station,0,   0  1,1325342
0,SA,115699124,Union Station,0,   0  9,1325342
0,SA,115699125,Union Station,0,   0  2,1325342
0,SA,115699126,Union Station,0,   0  8,1325342
0,SA,115699127,Union Station,0,   0  5,1325342
0,SA,115699128,Union Station,0,   0  9,1325342
0,SA,115699129,Union Station,0,   0  3,1325344
0,SA,115699130,Union Station,0,   0  1,1325344
0,SA,115699131,Union Station,0,   0  1,1325342
0,SA,115699132,Union Station,0,   0  4,1325342
0,SA,115699133,Englewood Station,1,   0  4,1325346
0,SA,115699134,Englewood Station,1,   0  5,1325346
0,SA,115699135,Englewood Station,1,   0  8,1325346
0,SA,115699136,Englewood Station,1,   0  7,1325346
0,SA,115699137,Englewood Station,1,   0  1,1325346
0,SA,115699138,Englewood Station,1,   0  9,1325346
0,SA,115699139,Englewood Station,1,   0  8,1325346
0,SA,115699140,Englewood Station,1,   0  2,1325346
0,SA,115699141,Englewood Station,1,   0  5,1325346
0,SA,115699142,Englewood Station,1,   0  2,1325346
0,SA,115699143,Englewood Station,1,   0  6,1325346
0,SA,115699144,Englewood Station,1,   0  2,1325346
0,SA,115699145,Englewood Station,1,   0  9,1325346
0,SA,115699146,Englewood Station,1,   0  1,1325346
0,SA,115699147,Englewood Station,1,   0  3,1325346
0,SA,115699148,Englewood Station,1,   0  6,1325346
0,SA,115699149,Englewood Station,1,   0  9,1325346
0,SA,115699150,Englewood Station,1,   0  3,1325346
0,SA,115699151,Englewood Station,1,   0  7,1325346
0,SA,115699152,Englewood Station,1,   0  3,1325346
0,SA,115699153,Englewood Station,1,   0  1,1325345
0,SA,115699154,Englewood Station,1,   0  5,1325346
0,SA,115699155,Englewood Station,1,   0  4,1325346
0,SA,115699156,Englewood Station,1,   0  7,1325346
0,SA,115699157,Englewood Station,1,   0  1,1325346
0,SA,115699158,Englewood Station,1,   0  3,1325346
0,SA,115699159,Englewood Station,1,   0  1,1325346
0,SA,115699160,Englewood Station,1,   0  2,1325346
0,SA,115699161,Englewood Station,1,   0  1,1325346
0,SA,115699162,Englewood Station,1,   0  4,1325345
